ChEMBL ID,AlogP,PSA,HBA,HBD,Smiles,MW,pIC50
CHEMBL394875,-0.24,63.32,3,2,CSC[C@H](N)C(=O)O,352.39700000000005,4.200659450546418
CHEMBL200381,5.04,86.52,6,2,N#Cc1cnc2cnc(NCc3cccnc3)cc2c1Nc1ccc(F)c(Cl)c1,151.12099999999998,7.301029995663981
CHEMBL502351,4.62,52.31,5,0,COc1ccc(-c2cnc3c(-c4cccc5ncccc45)cnn3c2)cc1,380.8060000000001,5.522878745280337
CHEMBL492572,4.59,70.13,4,2,C[C@@H](CN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1)NC(=O)c1ccc2ccccc2c1,603.6010000000002,7.337242168318426
CHEMBL492591,1.46,66.23,2,2,O=C(O)c1cc2occc2[nH]1,337.261,6.85078088734462
CHEMBL494772,2.37,96.28,6,2,COc1cc(Cc2cnc(N)nc2N)c(C(C)C)cc1OC,465.5540000000002,5.700000503883016
CHEMBL561103,3.74,110.53,10,1,COC(=O)Nc1ccc(-c2nc(N3CCOCC3)c3cnn(C4CCN(Cc5cccnc5)CC4)c3n2)cc1,509.39300000000026,8.337242168318426
CHEMBL559525,4.69,58.20,2,2,O=C(NC(=O)c1c(F)cccc1Cl)NC1c2ccccc2-c2ccccc21,188.231,8.818156412055227
CHEMBL397983,5.81,99.44,8,0,CCOc1ccc(-n2c([C@@H](C)N(Cc3cccnc3)C(=O)Cc3ccc(OC(F)(F)F)cc3)nc3ncccc3c2=O)cc1,387.8670000000001,8.096910013008056
CHEMBL1096283,1.06,82.67,7,0,Cn1nc(-c2ccc(C(F)(F)F)cc2)nc2c(=O)n(C)c(=O)nc1-2,396.6720000000001,3.6989700043360187
CHEMBL1078983,2.64,93.07,9,1,COc1ccc(-c2ccc3c(N4CCOCC4)nc(N4C[C@H](C)O[C@H](C)C4)nc3n2)cc1CO,460.62100000000015,7.795880017344075
CHEMBL4068896,6.80,85.37,6,2,C=CC(=O)Nc1cccc(C)c1Nc1ncc2cc(-c3c(Cl)c(OC)cc(OC)c3Cl)ccc2n1,530.6360000000003,6.619969752032169
CHEMBL332148,-1.08,111.23,3,5,CN[C@@H](CCCNC(=N)N)C(=O)O,326.4840000000001,4.356547323513812
CHEMBL518800,4.26,100.78,8,3,CC[C@H](CO)Nc1nc(NCc2ccc(-c3ccccn3)cc2)c2ncn(C(C)C)c2n1,479.96800000000013,6.886056647693163
CHEMBL469169,3.77,70.67,3,2,CNC(=O)c1cccc(NC(=O)N2CCC(Oc3ccccc3Cl)CC2)c1,332.7910000000001,8.397940008672037
CHEMBL1204168,4.15,56.27,5,1,COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OC.Cl,358.445,9.18045606445813
CHEMBL567303,3.73,77.49,4,3,Cc1cc(NC(=O)NCCN2CCC(O)(Cc3ccccc3)CC2)c2ccccc2n1,179.26299999999998,4.1249387366083
CHEMBL1241767,4.15,124.74,9,2,Cc1ccccc1-n1c(Cn2nc(-c3cccc(O)c3)c3c(N)ncnc32)nc2cccc(C)c2c1=O,348.2320000000001,5.017728766960431
CHEMBL604710,6.14,23.55,2,0,O=C(CC(c1ccccc1)c1ccccc1)N1CCN(C(c2ccccc2)c2ccccc2)CC1,471.5650000000004,4.913640169325252
CHEMBL410295,4.69,83.59,9,1,Cc1cccc(C)c1-n1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n2c3ccccc3nc12,501.5090000000003,8.154901959985743
CHEMBL270948,6.02,34.15,3,1,CCC(CC)Nc1cc(C)nc(Oc2c(C)cc(C)cc2C)c1C,555.4760000000001,8.289967300934247
CHEMBL471411,4.68,41.99,3,1,Cc1ccc(-c2csc(NC(=O)c3ccccc3)n2)c(C)c1,284.256,5.0655015487564325
CHEMBL1642655,4.07,64.22,5,1,CC(C)(C)c1ccc(C(=O)Nc2cn3cc(-n4ccnc4)ccc3n2)cc1,399.4130000000001,7.853871964321762
CHEMBL513390,1.13,70.05,4,3,CC(C)N[C@@H]1CCn2c(=O)[nH]c3cccc(c32)[C@H]1O.Cl,351.45000000000005,3.494850021680094
CHEMBL401930,3.86,106.27,6,4,Cc1cc(N2CCOCC2)cc2[nH]c(-c3c(NC[C@@H](O)c4cccc(Cl)c4)cc[nH]c3=O)nc12,436.3090000000001,7.0
CHEMBL473659,-0.03,298.14,18,12,CC(C)=CCC[C@](C)(O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@H]1CC[C@]2(C)[C@@H]1[C@H](O)C[C@@H]1[C@@]3(C)CC[C@H](O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)C(C)(C)[C@@H]3CC[C@]12C,342.4210000000001,3.6020599913279625
CHEMBL483243,1.92,56.22,4,0,CN1C(=O)C2C(N=C(/C=C/c3cccc(Cl)c3)N2C)N(C)C1=O,321.38000000000005,6.835647144215563
CHEMBL232656,3.08,87.90,4,2,C[C@@H]1CN(Cc2ccc(F)cc2)CCN1C(=O)COc1ccc(Cl)cc1NC(N)=O,471.4700000000002,7.7447274948966935
CHEMBL522618,4.79,69.41,6,1,C[C@H](Nc1cc2c(-c3ccc4c(c3)OCO4)noc2cn1)c1ccccc1,377.9200000000002,6.669586226650809
CHEMBL97162,3.63,73.06,6,1,COc1nccc(-c2c(-c3ccc(F)cc3)ncn2[C@H]2CC[C@H](O)CC2)n1,467.41300000000035,7.468521082957745
CHEMBL379218,3.88,76.82,4,2,Cc1n[nH]c2ccc(-c3cncc(OC[C@@H](N)Cc4ccccc4)c3)cc12,378.394,7.853871964321762
CHEMBL97257,6.48,70.50,5,1,CN(C)C(=O)CCS[C@@H](SCCC(=O)O)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1,127.168,9.113509274827518
CHEMBL147507,2.03,35.25,2,1,Cc1cccc(C)c1OC[C@@H](C)N,488.65700000000027,4.267606240177032
CHEMBL2159495,5.32,60.21,5,0,CC(=O)c1cc([N+](=O)[O-])c(Sc2cccc(Cl)c2Cl)s1,498.3260000000002,5.376750709602099
CHEMBL4072005,1.98,74.33,3,2,O=C(NCC(=O)N1CCCC1)Nc1ccc2cnccc2c1,277.367,7.040958607678906
CHEMBL33620,6.10,70.00,7,0,COc1ccc(CCN(C)CCCOc2ccc(S(=O)(=O)c3c(C(C)C)c4ccccc4n3C)cc2)cc1OC,381.33900000000006,10.142667503568731
CHEMBL1230001,4.82,69.64,2,2,O=C(O)c1ccccc1NC(=O)N1CCC(c2ccccc2C(F)(F)F)CC1,353.3560000000001,7.050609993355087
CHEMBL1236904,3.76,80.56,8,1,Cc1cc(CN2CCN(c3c(Br)cnc4nc(-c5ccc(N6CCN(C)CC6)cc5)[nH]c34)CC2)no1,298.34999999999997,7.823908740944319
CHEMBL3237719,3.75,109.06,8,2,C[C@H]1CC[C@H](n2c3cnccc3c3cnc(Nc4ccc5c(n4)CCN(C(=O)CO)C5)nc32)CC1,474.4540000000001,8.522878745280337
CHEMBL11594,4.21,85.17,5,2,CC1(C)Oc2ccc(C#N)cc2[C@H](N(Cc2ncc[nH]2)c2ccc(Cl)cc2)[C@H]1O,284.225,4.522878745280337
CHEMBL3259907,5.63,81.54,5,1,Cc1nc2ccccc2c(-c2ccc3c4c(ccnc24)CCO3)c1[C@H](OC(C)(C)C)C(=O)O,375.42800000000005,4.638272163982407
CHEMBL3040440,4.79,87.75,7,3,CNC(=O)c1ccccc1Nc1cc(Nc2ccc(N3CCOCC3)cc2OC)ncc1C(F)(F)F,204.18099999999998,6.920818753952375
CHEMBL4210419,5.84,52.29,5,0,O=C(c1cn(Cc2cncn2Cc2ccc(Br)cc2)cc1-c1cccc2ccccc12)N1CCOCC1,1121.4459999999995,9.096910013008056
CHEMBL480889,3.26,83.58,7,1,COc1cccc(CN(C(=O)CC(C)(C)C)[C@H]2C[C@@H](C(=O)N3CCNCC3)N(Cc3ccc4c(c3)OCO4)C2)c1,179.606,7.0
CHEMBL502124,5.72,102.49,7,3,CCN1CCN(C(=O)Cc2ccc(Nc3ncc(F)c(Nc4ccc(C(=O)Nc5ccccc5Cl)cc4)n3)cc2)CC1,406.49300000000005,7.259637310505756
CHEMBL3143955,1.58,50.94,4,2,CCCN[C@H]1CCc2nc(N)sc2C1.Cl.Cl,429.47000000000014,5.327902142064283
CHEMBL1807053,4.97,65.50,6,1,CCC(CC)Nc1nc(C)c(-c2ccc(OC(F)(F)F)cc2OC)nc1OC,400.48200000000014,7.031517051446065
CHEMBL298019,3.65,64.55,6,0,CCOC(=O)c1ccc(OCCC2CCN(c3ccc(C)nn3)CC2)cc1,324.4020000000001,7.199970640755866
CHEMBL325226,4.55,46.50,3,1,Cc1c(NC(=O)N2CCOCC2)ccc2c1c1ccccc1n2C(C)C,322.303,8.522878745280337
CHEMBL3356143,2.74,68.50,6,1,COc1ccccc1C(=O)Nc1cc2c(cc1N1CCCC1)n(C)c(=O)n2C,421.326,8.327902142064282
CHEMBL333081,4.85,61.44,2,2,O=C1NN(C(=O)Nc2ccc(Br)cc2)[C@@H](c2ccccc2)[C@@H]1c1ccccc1,785.0250000000002,4.688246138944246
CHEMBL3356976,5.23,42.01,4,0,O=C(OC(C(F)(F)F)C(F)(F)F)N1CCN(Cc2cccc(Oc3ccccc3)c2)CC1,364.4890000000001,7.130005999878258
CHEMBL266510,4.53,38.33,2,1,COc1ccc(Cl)cc1[C@]1(F)C(=O)Nc2cc(C(F)(F)F)ccc21,577.5530000000003,6.453457336521869
CHEMBL480718,2.68,41.61,3,0,Cl.N#Cc1ccc([C@H]2CCCc3cncn32)cc1,420.5630000000001,6.167491087293763
CHEMBL470334,3.04,164.36,11,4,N#Cc1ccc(COC[C@H]2O[C@@H](n3c(NCc4ccc(Cl)c(Cl)c4)nc4c(N)ncnc43)[C@H](O)[C@@H]2O)cc1,147.174,6.301029995663981
CHEMBL44752,-0.13,136.87,5,3,COC(=O)[C@H](CCCN=C(N)N)NS(=O)(=O)c1ccc(C)cc1,275.348,4.050609993355087
CHEMBL394527,1.92,105.66,5,4,O=C(N[C@@H]1Cc2ccccc2N(C[C@@H](O)CO)C1=O)c1cc2cc(Cl)sc2[nH]1,337.8540000000001,7.3979400086720375
CHEMBL178654,6.68,99.51,7,2,CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,223.663,7.481486060122112
CHEMBL264406,3.98,69.62,5,1,CC(C)(C)n1nc(-c2cccc3ccccc23)c2c(N)ncnc21,547.0550000000002,8.823908740944319
CHEMBL3341861,5.65,57.26,3,2,O=C(Nc1ccc(Cl)cc1)Nc1cccc(-c2cccc(N3CCCC3)n2)c1,430.41100000000006,7.488116639021126
CHEMBL97424,1.94,41.93,4,1,CCCN1CCO[C@H]2c3cc(O)ccc3OC[C@@H]21,384.8670000000001,4.0
CHEMBL3215749,5.40,15.71,3,0,Cl.Cl.Fc1ccc(C(OCCN2CCN(C/C=C/c3ccccc3)CC2)c2ccc(F)cc2)cc1,296.414,5.570247719997592
CHEMBL97771,5.18,65.50,6,1,COc1cc2ncnc(Nc3ccc(Oc4ccccc4)cc3)c2cc1OC,270.289,4.0
CHEMBL3393599,5.10,115.74,7,3,COc1cc(NC(=O)c2cccc(-n3cc(NC(=O)Nc4cccc(C)c4)cn3)c2)cc(OC)c1OC,500.47700000000026,5.886056647693163
CHEMBL3356433,2.51,129.47,7,3,Cc1c[nH]c2ncnc(N3CCC(CN)(C(=O)Nc4cccc(OC(=O)N(C)C)c4)CC3)c12,587.1850000000001,7.494850021680094
CHEMBL823,3.91,23.55,3,0,CN(C)CCCN1c2ccccc2[S+]([O-])c2ccc(Cl)cc21,185.179,4.115771230367396
CHEMBL3233606,3.08,38.91,3,1,Nc1ncc(Cc2ccc(Br)cc2)s1,363.841,4.154901959985743
CHEMBL2105450,5.62,69.56,3,3,O=C(Nc1cc(Cl)cc(Cl)c1O)c1c(O)c(Cl)cc(Cl)c1Cl,471.62300000000033,5.430626090384954
CHEMBL3092537,2.73,74.85,3,2,C[C@H](NC(=O)CCc1nc2ccccc2c(=O)[nH]1)c1ccccc1,206.28499999999997,5.200659450546418
CHEMBL3264002,2.68,136.31,8,2,CNS(=O)(=O)Nc1nccc(Cc2c(C)c3ccc(Oc4ncccn4)cc3oc2=O)c1F,456.4490000000002,7.3979400086720375
CHEMBL1671898,2.98,75.66,5,2,Cc1cn2c(N)c(Cl)cc(C(=O)NCC3CCN(CC(C)C)CC3)c2n1,342.36300000000017,5.589999287456538
CHEMBL1650511,7.09,50.27,3,1,FC(F)(F)c1ccccc1-c1cc(C(F)(F)F)c2[nH]c(C3=NOC4(CCCCC4)C3)nc2c1,474.56000000000023,5.0
CHEMBL1669669,4.96,41.57,3,1,CCOc1cccc(NC(=O)c2ccc(N3CCCC3)c(C(F)(F)F)c2)c1,442.94700000000034,5.342944147142896
CHEMBL1650619,1.45,25.16,3,1,On1ccccc1=S,324.3809999999999,2.3010299956639813
CHEMBL2338352,4.33,57.70,6,1,O=C(NCC1(N2CCN(c3ccccc3)CC2)CCOCC1)c1cccnc1Sc1ccccc1,449.55700000000013,6.699991797446187
CHEMBL3094448,3.82,126.07,6,3,COc1ncc2cc(C(=O)Nc3cc(C(=O)NCc4cccc(Cl)c4)ccc3Cl)c(=O)[nH]c2n1,354.446,7.657577319177793
CHEMBL3823931,3.51,35.58,2,1,CN(C)C(=O)Nc1cccc(-c2ccc(N(C)C)cc2)c1,391.78000000000003,6.154901959985743
CHEMBL1620289,4.14,21.26,2,1,COc1ccc(CNCc2cccc3ccccc23)cc1,447.52000000000015,5.7447274948966935
CHEMBL2424812,3.21,77.84,3,2,O=C(O)CCN(O)C(=O)CCCCCCCCC1CC1,416.4600000000001,6.698970004336019
CHEMBL1775179,2.75,116.51,9,0,CC(C)OC(=O)N1CCC(Oc2ncnc3c2cnn3-c2ccc(S(C)(=O)=O)cc2F)CC1,382.46300000000025,5.522878745280337
CHEMBL1627056,0.91,134.81,5,2,CC(C)(C)/[N+]([O-])=C/c1ccc(S(=O)(=O)[O-])cc1S(=O)(=O)[O-].[Na+].[Na+],473.5160000000002,2.8239087409443187
CHEMBL373428,-0.46,144.62,8,3,Cc1cn(C[C@H](N)C(=O)O)c(=O)n(Cc2ccsc2C(=O)O)c1=O,131.175,4.0
CHEMBL77538,0.47,104.84,6,2,N#Cc1ccc(NCCNCC(=O)N2CCC[C@H]2C#N)nc1,676.7440000000001,7.657577319177793
CHEMBL536480,2.90,79.37,5,1,Cc1cccc(CCN2CCC(C(=O)c3ccc(NS(C)(=O)=O)cc3)CC2)n1.Cl.Cl,564.6830000000003,7.7423214251308154
CHEMBL2164551,2.95,75.60,5,0,N#Cc1cc(F)cc(-c2nc(-c3ccc(F)cn3)no2)c1,386.40400000000005,7.585026652029182
CHEMBL1652621,3.69,75.44,4,1,Cc1c(CN(C)C(=O)/C=C/c2cnc3c(c2)CCC(=O)N3)oc2ccccc12,282.387,7.5376020021010435
CHEMBL272357,1.62,67.51,4,1,Cc1cc(=O)oc2c(C=O)c(O)ccc12,381.39300000000003,4.3979400086720375
CHEMBL1409793,2.59,33.12,2,1,Oc1ccnc2cc(Cl)ccc12,562.7150000000001,4.301029995663981
CHEMBL2385591,4.02,58.35,6,1,c1cc(-c2cnn3cc(-c4ccc(N5CCNCC5)cc4)cnc23)c2cccnc2c1,266.257,5.388276691992658
CHEMBL3672295,4.49,79.11,4,3,Cc1cc(O)c(-c2ccc([C@@H](C)CN)cc2)c2c1[nH]c(=O)c1sccc12,413.833,8.585026652029182
CHEMBL1428564,1.61,65.78,5,1,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(C)CC3)cc21.CS(=O)(=O)O,303.365,5.667561540084395
CHEMBL3218581,3.35,101.21,6,2,Cc1nc(NC(=O)N2CCC[C@H]2C(N)=O)sc1-c1csc(C(C)(C)C)n1,453.5280000000002,7.494850021680094
CHEMBL108425,3.38,57.74,5,0,N#Cc1ccc(N(Cc2ccc(Br)cc2)n2cnnc2)cc1,307.353,9.301029995663981
CHEMBL2336409,5.65,117.85,7,4,Cc1cc(Nc2ccc(NC(=O)c3ccc(Nc4ccnc5ccccc45)cc3)cc2)nc(N)n1,330.77500000000003,4.950007143079858
CHEMBL331465,3.77,51.89,6,0,c1ccc(-c2cnn3cc(-c4ccc(OCCN5CCOCC5)cc4)cnc23)cc1,398.4870000000001,8.045757490560675
CHEMBL3672841,3.63,90.14,7,2,CCN(c1cc(C#CCN2CCOCC2)cc(C(=O)NCc2c(C)cc(C)[nH]c2=O)c1C)[C@H]1CC[C@H](N(C)CCOC)CC1,471.60400000000016,4.0
CHEMBL434045,1.41,90.63,5,1,CCS(=O)(=O)N(C)[C@H]1c2cc(C#N)ccc2OC(C)(C)[C@@H]1O,576.8590000000002,5.301029995663981
CHEMBL225542,2.17,84.21,6,2,O=C(NNc1nc2cc(F)ccc2n2cccc12)c1cnccn1,600.7929999999999,5.3979400086720375
CHEMBL262766,4.32,72.70,6,1,Cc1nnsc1C(=O)Nc1ccc(-n2nc(C(F)(F)F)cc2C(F)(F)F)cc1,204.35699999999997,6.721246399047171
CHEMBL1095008,2.15,218.99,13,9,CC(C)=CCC[C@@](C)(O)[C@H]1CC[C@]2(C)[C@@H]1[C@H](O)C[C@@H]1[C@@]3(C)CC[C@H](O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)C(C)(C)[C@@H]3CC[C@]12C,375.45300000000015,3.6020599913279625
CHEMBL3786182,3.74,52.57,3,2,O=C(O)c1ccc(CN2CCC(CN[C@@H]3C[C@H]3c3ccccc3)CC2)cc1,293.682,7.3872161432802645
CHEMBL2169920,4.55,102.93,6,4,O=C1COc2c(CCNCCN(C(=O)CCNCCc3ccc(Cl)c(Cl)c3)C3CCCCC3)ccc(O)c2N1,658.7070000000001,6.920818753952375
CHEMBL3774655,4.22,60.47,6,0,CCC(=O)N1CCOc2c(cc(-c3ccc(OC)c(OC)c3)cc2OC[C@H]2CCCN(C)C2)C1,427.36800000000017,6.769551078621726
CHEMBL3770903,5.02,67.77,6,1,Cc1cc(C)nc(SCC(=O)Nc2ncc(Cc3cccc4ccccc34)s2)n1,412.51900000000006,6.356547323513812
CHEMBL108084,-1.94,72.72,4,4,OC[C@H]1NCC[C@@H](O)[C@@H]1O,321.38000000000005,3.0861861476162833
CHEMBL325795,2.62,47.56,3,1,COc1ccc([C@H]2CNC(=O)C2)cc1OC1CCCC1,554.8520000000001,5.795880017344075
CHEMBL33240,3.19,35.88,2,2,N=C(Nc1ccccc1)c1cccs1,442.6040000000004,5.3979400086720375
CHEMBL428462,4.40,40.71,2,2,Clc1ccc(C2(c3ccc(-c4cn[nH]c4)cc3)CCNCC2)cc1,474.34000000000015,4.7447274948966935
CHEMBL94841,2.32,50.94,4,1,CCn1c(O)nnc1-c1ccc(Cl)cc1,440.54700000000014,4.0
CHEMBL391586,4.05,76.88,3,2,N#Cc1c(-c2ccccc2)cc(-c2cc(Br)ccc2O)[nH]c1=O,478.5830000000002,7.301029995663981
CHEMBL401989,4.72,76.90,7,0,CCOc1ccccc1-n1c(C(C)N2CCN(C(=O)COc3ccc(Cl)cc3)CC2)nc2ccccc2c1=O,281.334,5.3979400086720375
CHEMBL207225,2.19,53.09,1,2,O=C(O)CCc1c[nH]c2ccccc12,409.5740000000002,3.853871964321762
CHEMBL229430,5.52,77.00,6,1,CC(=O)Nc1nc2c(Oc3cc(-c4ccc(C(F)(F)F)cc4)ncn3)cccc2s1,418.49600000000015,9.045757490560675
CHEMBL379761,4.60,68.06,4,2,CC(C)c1c(NC(=O)Nc2ccc(Cl)cc2)c(=O)n(-c2ccccc2)n1C,495.5800000000003,6.619788758288394
CHEMBL441225,3.28,33.29,3,2,COc1ccccc1CN[C@H]1CCCN[C@H]1c1ccccc1,501.7330000000003,9.301029995663981
CHEMBL3884248,-0.21,93.66,7,1,Cc1ncc([N+](=O)[O-])n1CC(O)CN1CCOCC1,379.8780000000001,2.3010299956639813
CHEMBL339133,2.34,89.71,6,2,Nc1nc(OCc2cc(Br)cs2)c2[nH]cnc2n1,494.60300000000035,8.045757490560675
CHEMBL256470,4.11,78.43,7,1,Cc1csc2c(N[C@@H](C)CN3CCN(S(=O)(=O)c4ccc(Cl)c(Cl)c4)CC3)ncnc12,599.6690000000003,7.769551078621726
CHEMBL16596,9.01,64.35,5,1,CC(C)(C)Sc1c(CC(C)(C)C(=O)O)n(Cc2ccc(Cl)cc2)c2ccc(OCc3ccc4ccccc4n3)cc12,344.3190000000001,8.522878745280337
CHEMBL150315,4.18,56.27,5,1,COc1cc2ncnc(Nc3ccc(Cl)cc3F)c2cc1OC,317.391,5.698970004336019
CHEMBL8759,-0.49,100.62,3,3,N[C@@]1(C(=O)O)CC[C@H]2[C@H](C(=O)O)[C@H]21,433.50100000000015,4.0
CHEMBL144399,1.64,46.01,3,1,Cc1nccc2nc(O)ccc12,248.71300000000002,6.259637310505756
CHEMBL31344,3.19,90.39,2,3,O=C(O)CCc1c(C(=O)O)[nH]c2cc(Cl)cc(Cl)c12,433.90300000000025,7.161150909262744
CHEMBL1476337,1.12,42.96,5,1,COc1ccc(CN2CCNCC2)c(OC)c1OC.Cl,291.26700000000005,5.083019952679618
CHEMBL284782,3.06,78.79,4,3,C[C@H](Cc1ccc(OCC(=O)O)cc1)NC[C@H](O)c1cccc(Cl)c1,295.304,6.721246399047171
CHEMBL299879,4.07,101.34,5,2,O=[N+]([O-])c1ccccc1S(=O)(=O)NC[C@H]1CC[C@H](CNCC2CCc3ccccc3C2)CC1,1032.1349999999993,4.886056647693163
CHEMBL67391,1.50,26.02,1,1,Cl.N[C@H]1C[C@@H]1c1ccccc1,178.212,6.045757490560675
CHEMBL188528,3.67,66.49,4,2,Oc1ccc(-c2nc3cc(O)cc(Br)c3o2)cc1,323.39300000000003,8.698970004336019
CHEMBL427526,3.07,37.30,1,1,CC(C)Cc1ccc([C@@H](C)C(=O)O)cc1,491.49500000000023,6.958607314841775
CHEMBL3098745,3.36,79.29,3,2,Cc1cccc(NC(=O)c2ccc(C(F)(F)F)cc2C(=O)O)n1,432.8680000000001,6.481486060122113
CHEMBL75474,5.81,38.05,3,1,C[C@]12CCC3C(CC=C4C[C@@H](O)CC[C@@]43C)C1CC=C2n1cnc2ccccc21,482.0050000000004,6.522878745280337
CHEMBL2036730,5.09,117.35,6,3,O=C(O)C[C@H]1CC[C@H](c2ccc(NC(=O)c3nnc(Nc4ccc(F)c(F)c4)o3)cc2)CC1,322.368,9.522878745280337
CHEMBL1956071,0.26,141.98,9,2,CCn1c(-c2nonc2N)nc2cncc(C(=O)N3CC[C@H](N)C3)c21,612.7500000000003,8.2518119729938
CHEMBL247920,6.90,64.35,4,1,CCc1c(-c2ccccc2)c(-c2ccccc2)nn1-c1ccccc1-c1cccc(OCC(=O)O)c1,568.6780000000002,6.655607726314889
CHEMBL426161,4.76,68.74,7,1,COc1ccc(Cl)c(Nc2ncnc3cc(OCC4CCN(C)CC4)c(OC)cc23)c1,434.3430000000001,8.0
CHEMBL226630,1.90,131.34,6,3,NC(=O)c1noc([C@H](CCCC2CCCCC2)CC(=O)NO)n1,539.6810000000004,7.356547323513812
CHEMBL3753077,4.02,89.80,5,2,COc1ccc(C2(CNC(=O)c3ccc(NC(=O)c4ccco4)cc3)CCOCC2)cc1,364.4060000000001,5.7447274948966935
CHEMBL3617053,4.71,88.16,5,2,O=C(Nc1ccc(S(=O)(=O)Nc2nccs2)cc1)C(c1ccccc1)c1ccccc1,346.652,5.0
CHEMBL63064,5.19,48.00,4,0,COc1ccc(OC)c(CN(C(C)=O)c2cc(F)ccc2Oc2ccccc2)c1,285.26899999999995,8.790484985457368
